drill_id,mic_type,mic_id,position,sr,filepath_wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_no_jam_30_holes/reg_mics/250207_008.TAKE/18_common_Tr6_int.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr3_ext.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr1_ext.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr5_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/ultrasonic_mics/190521_007.TAKE/18_common_Tr6_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr6_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr5_int.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr1_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_1_1st_jam_3_holes/reg_mics/250207_007.TAKE/18_common_Tr3_ext.wav
