drill,hole,prob_xgb,label_real,threshold_xgb
drill_4mm_05_batch_00_collet_1_30-01-2025,44,0.078978576,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,45,0.03855236,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,46,0.040044867,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,47,0.023364324,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,48,0.06325174,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,49,0.15311603,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,50,0.019493366,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,51,0.10351922,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,52,0.056132425,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,53,0.14097609,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,54,0.2580246,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,55,0.059319366,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,56,0.05470711,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,57,0.0039832913,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,58,0.07176315,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,59,0.021471068,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,60,0.13425027,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,61,0.022411996,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,62,0.25635213,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,63,0.03922242,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,64,0.049194887,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,65,0.009365269,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,66,0.097903214,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,67,0.04633103,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,68,0.3014514,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,69,0.0785602,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,70,0.098314755,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,71,0.2532909,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,72,0.38627154,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,73,0.3862726,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,74,0.06317163,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,75,0.45030096,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,76,0.51720667,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,77,0.032724947,0,0.1
